REGIAO:;S
UF:;SC
ESTACAO:;ITAJAI
CODIGO (WMO):;A868
LATITUDE:;-26,95083333
LONGITUDE:;-48,76194444
ALTITUDE:;9,76
DATA DE FUNDACAO:;24/06/10
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;1012,2;1012,3;1011,7;;24,2;20,1;24,3;24,2;20,1;19,9;78;77;78;51;5,6;2,4;
2025/01/01;0100 UTC;0;1012,6;1012,6;1011,8;;24,1;20,1;24,2;24;20,2;20;78;78;78;63;6,1;2,3;
2025/01/01;0200 UTC;0;1013,1;1013,3;1012,6;;24,1;20,3;24,2;24;20,3;20,1;79;78;79;56;4,2;1,4;
2025/01/01;0300 UTC;,2;1012,4;1013,1;1012,4;;23,7;20,2;24,1;23,7;20,4;20,2;81;79;81;56;5,7;3,1;
2025/01/01;0400 UTC;,2;1012;1012,4;1011,7;;23,4;20,3;23,7;23,3;20,3;20,1;83;81;82;53;5,7;2,9;
2025/01/01;0500 UTC;0;1011,4;1012;1011,3;;23,3;20,2;23,4;23,2;20,3;20,1;83;82;83;49;4,9;1,8;
2025/01/01;0600 UTC;0;1011,1;1011,5;1011,1;;23,1;20,2;23,3;23;20,3;20,1;84;83;84;67;2,9;1,3;
2025/01/01;0700 UTC;0;1011,1;1011,2;1010,9;;22,8;20,2;23,1;22,7;20,3;20;85;84;85;255;1,9;0;
2025/01/01;0800 UTC;0;1011,3;1011,4;1011,1;;22,5;20,1;22,8;22,5;20,3;20,1;86;85;86;266;1,1;,5;
2025/01/01;0900 UTC;,2;1011,9;1011,9;1011,3;19,2;22,6;20,4;22,7;22,4;20,4;20,1;87;86;87;212;1,4;,3;
2025/01/01;1000 UTC;0;1012,6;1012,6;1011,9;172,3;22,9;20,8;23;22,6;20,9;20,4;88;87;88;193;1,5;,5;
2025/01/01;1100 UTC;0;1012,7;1012,7;1012,5;450,5;23,4;21,1;23,4;22,9;21,2;20,8;88;87;87;289;1,5;0;
2025/01/01;1200 UTC;0;1012,7;1012,8;1012,6;1337,9;24,4;21,4;24,9;23,3;22,4;21;87;83;83;342;3,3;1,7;
2025/01/01;1300 UTC;0;1012,8;1012,9;1012,7;1878,4;25,8;21,6;26,1;24,4;22,2;21,1;83;78;78;27;4;2,2;
2025/01/01;1400 UTC;0;1012,3;1012,8;1012,3;3215,3;27,1;21,7;27,3;25,5;22,1;21,3;78;72;72;23;4,6;1,9;
2025/01/01;1500 UTC;0;1011,3;1012,3;1011,3;3159,4;27,9;21,7;28,1;27,1;22,4;21,3;73;68;69;333;4,4;1,2;
2025/01/01;1600 UTC;0;1010,7;1011,3;1010,6;3928,4;28,3;22,1;28,9;27,9;22,8;21,6;71;67;69;59;7,4;3,8;
2025/01/01;1700 UTC;0;1009,6;1010,7;1009,5;3032,7;27,6;21,3;28,8;27,5;22,7;21,3;71;69;69;66;8,4;5,2;
2025/01/01;1800 UTC;0;1009,5;1009,6;1009,3;2372,5;27,3;21,5;27,9;27;22,4;21,2;72;69;71;72;9,6;4,8;
2025/01/01;1900 UTC;0;1008,8;1009,5;1008,7;1877,9;26,6;21,2;27,4;26,3;21,7;20,9;73;71;72;65;8,9;5,5;
2025/01/01;2000 UTC;0;1008,9;1008,9;1008,1;823,6;25,5;20,5;26,6;25,5;21,2;20,4;74;72;74;61;9,2;4,6;
2025/01/01;2100 UTC;0;1009,4;1009,6;1008,9;273,3;25,2;20,4;25,6;25,2;20,7;20,3;75;74;75;63;8;4,1;
2025/01/01;2200 UTC;0;1010,7;1010,7;1009,3;45,8;24,9;20,5;25,2;24,8;20,5;20,3;77;75;77;36;8,1;4;
