REGIAO:;S
UF:;SC
ESTACAO:;RANCHO QUEIMADO
CODIGO (WMO):;A870
LATITUDE:;-27,6786111
LONGITUDE:;-49,04194444
ALTITUDE:;881
DATA DE FUNDACAO:;31/05/16
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;915,9;916,3;915,8;;18,2;;18,6;18,2;;;;;;;;;
2025/01/01;0100 UTC;,2;916,3;916,5;915,9;;18,1;;18,2;18;;;;;;;;;
2025/01/01;0200 UTC;0;916,8;917,3;916,3;;18;;18,2;18;;;;;;;;;
2025/01/01;0300 UTC;0;916;916,8;915,9;;17,8;;18;17,8;;;;;;;;;
2025/01/01;0400 UTC;0;915,5;916;915,4;;17,8;;17,9;17,8;;;;;;;;;
2025/01/01;0500 UTC;0;915,4;915,6;915,4;;17,8;;17,8;17,7;;;;;;;;;
2025/01/01;0600 UTC;,2;914,8;915,4;914,8;;17,8;;17,8;17,7;;;;;;;;;
2025/01/01;0700 UTC;,4;915;915;914,7;;17,5;;17,9;17,4;;;;;;;;;
2025/01/01;0800 UTC;0;915,1;915,1;914,8;;17,5;;17,7;17,5;;;;;;;;;
2025/01/01;0900 UTC;0;915,8;915,8;915,1;8,3;17,4;;17,6;17,3;;;;;;;;;
2025/01/01;1000 UTC;0;916,2;916,2;915,8;81,7;17,7;;17,8;17,4;;;;;;;;;
2025/01/01;1100 UTC;0;916,4;916,4;916,1;239,6;18,2;;18,2;17,6;;;;;;;;;
2025/01/01;1200 UTC;0;916,5;916,5;916,4;966,7;19,6;;19,7;18,2;;;;;;;;;
2025/01/01;1300 UTC;0;916,5;916,7;916,5;1412,3;21;;21,2;19,4;;;;;;;;;
2025/01/01;1400 UTC;0;916,1;916,5;916;3176,6;22,9;;23,2;21;;;;;;;;;
2025/01/01;1500 UTC;0;915,6;916,1;915,6;3728,9;24,7;;25;22,9;;;;;;;;;
2025/01/01;1600 UTC;0;914,9;915,6;914,9;3645,6;26;;26;24,5;;;;;;;;;
2025/01/01;1700 UTC;0;913,9;914,9;913,9;3515,1;27,2;;27,9;25,2;;;;;;;;;
2025/01/01;1800 UTC;0;913,8;913,9;913,7;1088,9;24,5;;27,2;24,5;;;;;;;;;
2025/01/01;1900 UTC;0;913;913,8;913;1101,2;23,6;;25,5;23,5;;;;;;;;;
2025/01/01;2000 UTC;0;913,5;913,5;912,9;545,7;21,9;;23,7;21,8;;;;;;;;;
2025/01/01;2100 UTC;0;913,6;913,8;913,3;350,7;20,7;;22;20,6;;;;;;;;;
2025/01/01;2200 UTC;0;914,3;914,3;913,6;28,8;20,3;;20,8;20;;;;;;;;;
2025/01/01;2300 UTC;9,6;914,9;915,2;914,3;;17,9;;20,3;16,9;;;;;;;;;
2025/01/02;0000 UTC;0;916,2;916,5;914,9;;17,4;;17,9;16,9;;;;;;;;;
2025/01/02;0100 UTC;,8;916,3;916,3;915,7;;18,2;;18,2;17,4;;;;;;;;;
2025/01/02;0200 UTC;,2;915,7;916,4;915,7;;18,2;;18,3;18,1;;;;;;;;;
2025/01/02;0300 UTC;0;915,2;915,7;915,1;0;18,4;;18,5;18,2;;;;;;;;;
2025/01/02;0400 UTC;,2;914,5;915,2;914,5;,1;18,5;;18,5;18,3;;;;;;;;;
2025/01/02;0500 UTC;,2;913,6;914,5;913,6;,1;18,5;;18,6;18,5;;;;;;;;;
2025/01/02;0600 UTC;0;912,6;913,6;912,6;;18,4;;18,5;18,4;;;;;;;;;
2025/01/02;0700 UTC;0;912,2;912,6;912,2;,1;18,4;;18,5;18,4;;;;;;;;;
2025/01/02;0800 UTC;0;912,3;912,4;912;;18,2;;18,4;18,2;;;;;;;;;
2025/01/02;0900 UTC;0;913,1;913,1;912,3;17,9;18,2;;18,3;18,2;;;;;;;;;
2025/01/02;1000 UTC;0;913,2;913,2;913;177,9;18,4;;18,4;18,1;;;;;;;;;
2025/01/02;1100 UTC;0;913,6;913,7;913,2;307,9;18,8;;18,8;18,4;;;;;;;;;
2025/01/02;1200 UTC;0;914,2;914,2;913,4;485,7;19,9;;19,9;18,8;;;;;;;;;
2025/01/02;1300 UTC;7,8;914,5;914,9;914;705,3;17,9;;21;17,8;;;;;;;;;
