DatGeracaoConjuntoDados;IdeConjUnidConsumidoras;CodMunicipio;NomMunicipio;SigUF
2026-07-05;1;2929305;São Gonçalo dos Campos;BA
2026-07-05;2;4315503;Restinga Seca;RS
2026-07-05;3;2201002;Arraial;PI
2026-07-05;3;2202075;Cajazeiras do Piauí;PI
2026-07-05;3;2204105;Francisco Ayres;PI
2026-07-05;3;2206704;Nazaré do Piauí;PI
2026-07-05;3;2208874;Ribeira do Piauí;PI
2026-07-05;3;2209708;São Francisco do Piauí;PI
2026-07-05;3;2210102;São José do Peixe;PI
2026-07-05;7;4307864;Fagundes Varela;RS
2026-07-05;9;5103106;Cocalinho;MT
2026-07-05;12;3130556;Imbé de Minas;MG
2026-07-05;13;3159704;Santa Rosa da Serra;MG
2026-07-05;14;2501153;Areia de Baraúnas;PB
2026-07-05;14;2510709;Passagem;PB
2026-07-05;15;3204500;Santa Leopoldina;ES
2026-07-05;15;3204559;Santa Maria de Jetibá;ES
2026-07-05;16;2403251;Parnamirim;RN
2026-07-05;17;3164803;São Sebastião do Rio Preto;MG
2026-07-05;18;2411205;Santa Cruz;RN
2026-07-05;18;2412302;São José do Campestre;RN
2026-07-05;18;2414001;Tangará;RN
2026-07-05;19;2205508;José de Freitas;PI
2026-07-05;20;3160454;Santo Antônio do Retiro;MG
2026-07-05;21;2404200;Goianinha;RN
2026-07-05;22;4109401;Guarapuava;PR
2026-07-05;23;3141009;Mato Verde;MG
2026-07-05;25;3538709;Piracicaba;SP
2026-07-05;25;3545159;Saltinho;SP
2026-07-05;26;2515104;São Sebastião de Lagoa de Roça;PB
2026-07-05;27;3156809;Sabinópolis;MG
2026-07-05;28;2912806;Ibirapuã;BA
2026-07-05;28;2916005;Itanhém;BA
2026-07-05;28;2921104;Medeiros Neto;BA
2026-07-05;28;2933257;Vereda;BA
2026-07-05;29;3150901;Piranguçu;MG
2026-07-05;30;3518859;Guatapará;SP
2026-07-05;31;3508405;Cabreúva;SP
2026-07-05;32;3152402;Poté;MG
2026-07-05;33;4202081;Bandeirante;SC
2026-07-05;33;4202156;Belmonte;SC
2026-07-05;33;4204905;Descanso;SC
2026-07-05;33;4206405;Guaraciaba;SC
2026-07-05;33;4212239;Paraíso;SC
2026-07-05;33;4215554;Santa Helena;SC
2026-07-05;33;4217204;São Miguel do Oeste;SC
